Date	Plot	Section	E_s_normal	E_s_infertile	E_t_normal	E_t_infertile	Field_remarks	General_remarks
2015-07-20	Eri1	A	2	30	0	0	No remarks	No remarks
2015-07-20	Eri1	B	1	9	0	0	No remarks	No remarks
2015-07-20	Eri1	C	0	8	0	0	No remarks	No remarks
2015-07-20	Eri1	D	1	35	0	0	No remarks	No remarks
2015-07-20	Eri2	A	1	1	0	0	No remarks	No remarks
2015-07-20	Eri2	B	2	2	1	1	No remarks	No remarks
2015-07-20	Eri2	C	1	0	0	0	No remarks	No remarks
2015-07-20	Eri2	D	2	1	0	0	No remarks	No remarks
2015-07-20	Eri4	A	0	220	0	0	No remarks	No remarks
2015-07-20	Eri4	B	0	181	0	0	No remarks	No remarks
2015-07-20	Eri4	C	0	166	0	0	No remarks	No remarks
2015-07-20	Eri4	D	0	212	0	0	No remarks	No remarks
2015-07-27	Eri3	A	0	6	0	0	No remarks	No remarks
2015-07-27	Eri3	B	0	2	0	0	No remarks	No remarks
2015-07-27	Eri3	C	0	3	0	0	No remarks	No remarks
2015-07-27	Eri3	D	0	2	0	0	No remarks	No remarks
2016-07-22	Eri4	A	19	159	0	0	No remarks	No remarks
2016-07-22	Eri4	B	19	80	0	0	No remarks	No remarks
2016-07-22	Eri4	C	11	68	0	0	No remarks	No remarks
2016-07-22	Eri4	D	5	89	0	0	No remarks	No remarks
2016-07-22	Eri3	A	10	1	0	0	No remarks	No remarks
2016-07-22	Eri3	B	11	2	0	0	No remarks	No remarks
2016-07-22	Eri3	C	7	4	0	0	No remarks	No remarks
2016-07-22	Eri3	D	15	3	0	0	No remarks	No remarks
2016-07-22	Eri2	A	4	8	3	0	No remarks	No remarks
2016-07-22	Eri2	B	3	6	1	0	No remarks	No remarks
2016-07-22	Eri2	C	0	0	0	0	No remarks	No remarks
2016-07-22	Eri2	D	1	2	0	2	No remarks	No remarks
2016-07-22	Eri1	A	26	51	0	0	No remarks	No remarks
2016-07-22	Eri1	B	10	35	0	0	No remarks	No remarks
2016-07-22	Eri1	C	29	28	0	0	No remarks	No remarks
2016-07-22	Eri1	D	71	62	0	0	No remarks	No remarks
2017-08-04	Eri1	A	18	41	0	0	Done using string	No remarks
2017-08-04	Eri1	B	8	33	0	0	Done using string	No remarks
2017-08-04	Eri1	C	16	43	0	0	Done using string	No remarks
2017-08-04	Eri1	D	35	58	0	0	Done using string	No remarks
2017-08-04	Eri2	A	28	2	2	2	Done using string	No remarks
2017-08-04	Eri2	B	11	3	1	2	Done using string	No remarks
2017-08-04	Eri2	C	4	0	0	0	Done using string	No remarks
2017-08-04	Eri2	D	17	4	0	1	Done using string	No remarks
2017-08-05	Eri3	A	14	0	0	0	Done using string	No remarks
2017-08-05	Eri3	B	17	0	0	0	Done using string	No remarks
2017-08-05	Eri3	C	6	0	0	0	Done using string	No remarks
2017-08-05	Eri3	D	18	2	0	0	Done using string	No remarks
2017-08-05	Eri4	A	0	83	0	0	Done using string	No remarks
2017-08-05	Eri4	B	2	56	0	0	Done using string	No remarks
2017-08-05	Eri4	C	2	70	0	0	Done using string	No remarks
2017-08-05	Eri4	D	1	79	0	0	Done using string	No remarks
2018-09-07	Eri1	A	31	184	0	0	No remarks	No remarks
2018-09-07	Eri1	B	14	139	0	0	No remarks	No remarks
2018-09-07	Eri1	C	24	184	0	0	No remarks	No remarks
2018-09-07	Eri1	D	65	281	0	0	No remarks	No remarks
2018-09-07	Eri3	A	0	2	0	0	No remarks	No remarks
2018-09-07	Eri3	B	0	2	0	0	No remarks	No remarks
2018-09-07	Eri3	C	0	2	0	0	No remarks	No remarks
2018-09-07	Eri3	D	0	5	0	0	No remarks	No remarks
2018-09-07	Eri4	A	0	242	0	0	No remarks	No remarks
2018-09-07	Eri4	B	1	181	0	0	No remarks	No remarks
2018-09-07	Eri4	C	2	237	0	0	No remarks	No remarks
2018-09-07	Eri4	D	1	158	0	0	No remarks	No remarks
2018-09-08	Eri2	A	30	18	2	1	No remarks	No remarks
2018-09-08	Eri2	B	5	8	4	1	No remarks	No remarks
2018-09-08	Eri2	C	7	2	0	1	No remarks	No remarks
2018-09-08	Eri2	D	25	10	1	0	No remarks	No remarks
2019-07-16	Eri1	A	64	49	0	0	No remarks	No remarks
2019-07-16	Eri1	B	56	66	1	0	No remarks	No remarks
2019-07-16	Eri1	C	59	55	0	0	No remarks	No remarks
2019-07-16	Eri1	D	122	54	0	0	No remarks	No remarks
2019-07-16	Eri2	A	49	16	0	0	No remarks	No remarks
2019-07-16	Eri2	B	9	1	0	0	No remarks	No remarks
2019-07-16	Eri2	C	7	0	0	0	No remarks	No remarks
2019-07-16	Eri2	D	22	6	0	0	No remarks	No remarks
2019-07-16	Eri3	A	0	2	0	0	No remarks	No remarks
2019-07-16	Eri3	B	0	2	0	0	No remarks	No remarks
2019-07-16	Eri3	C	0	0	0	0	No remarks	No remarks
2019-07-16	Eri3	D	0	1	0	0	No remarks	No remarks
2019-07-16	Eri4	A	135	193	0	0	No remarks	No remarks
2019-07-16	Eri4	B	92	200	0	0	No remarks	No remarks
